baba	爸爸
bixx	鼻血
biye	毕业
biyk	必要
bize	逼着
bizi	壁纸
bizi	鼻子
bizv	闭嘴
bjbf	笔记本
bjbf	版本
bjbu	编辑部
bjco	板锉
bjcu	搬出
bjdk	搬到
bjei	搬
bjfa	办法
bjge	半个
bjhk	比较好
bjhw	版画
bjjw	半价
bjka	办卡
bjkr	北京科锐
bjky	板块
bjlb	保交楼
bjli	办理
bjll	搬来
bjlu	半路
bjly	冰激凌
bjnm	半年
bjqi	编辑器
bjqr	版权
bjry	不尽人意
bjse	背景色
bjsi	版式
bjtm	半天
bjtu	版图
bjui	版
bjwj	办完
bjye	半夜
bjzb	搬走
bjzk	北京自考
bkbi	暴毙
bkbj	包办
bkch	包括长
bkci	保持
bkck	包抄
bkco	报错
bkcp	保存
bkdk	报道
bkdx	暴跌
bkfu	报复
bkgo	包裹
bkhj	包含
bkhk	包好
bkhu	保护
bkkl	不可抗力
bkko	包括
bkkr	薄款
bkkr	爆款
bkku	宝库
bklb	宝楼
bklc	报料
bklq	保留
bklu	暴露
bkly	不可理喻
bkmy	报名
bkqm	抱歉
bksf	报审
bksh	包上
bksi	宝石
bksv	报税
bksv	保税
bkta	宝塔
bkua	包
bkvj	报案
bkvj	保安
bkxc	报销
bkxc	爆笑
bkxm	保险
bkxq	保修
bkzd	包装
bkzg	保证
bkzi	报纸
bkzi	包子
bkzu	抱住
blbm	百变
blbm	白边
bldi	白底
bldm	便利店
bldu	百度
blfh	拜访
blfu	拜服
blgj	白干
blgs	白宫
bllj	摆烂
blmi	波罗蜜
blnm	百年
blpc	濒临破产
blpl	摆拍
blrf	百人
blrf	白人
blse	白色
blss	白送
blta	不理他
bltj	摆摊
bltm	白天
blzb	白昼
bmaa	编
bmbm	扁扁
bmbm	变变
bmcg	编程
bmcg	变成
bmda	变大
bmde	变得
bmdh	便当
bmdo	变多
bmds	变动
bmfh	边防
bmfz	报名费
bmgg	变更
bmhv	便会
bmhw	变化
bmji	编辑
bmju	编剧
bmjx	边界
bmkd	边框
bmkj	边看
bmld	变量
bmle	变了
bmli	遍历
bmli	便利
bmlj	边栏
bmlj	便览
bmll	八面玲珑
bmma	编码
bmoe	变
bmpk	鞭炮
bmqm	便签
bmrf	辨认
bmse	变色
bmsy	不明所以
bmtl	变态
bmxx	编写
bmxx	便携
bmxy	变形
bmyi	编译
bmyi	便宜
bmyu	鳊鱼
bmyu	便于
bmzi	辫子
bmzk	编造
bndh	不能当
bnji	八年级
bnkd	帮你砍一刀
bnoo	宾
bnqm	半年前
bnsw	不能上网
bobo	勃勃
bodo	剥夺
bofh	播放
bogk	波高
bojd	播讲
boke	博客
boke	播客
bokr	拨款
bolh	波浪
boli	玻璃
bolj	波兰
bonq	波妞
boqu	博取
boxy	波形
boyn	播音
boyn	波音
bozi	脖子
bpcj	剥皮抽筋
bqbu	滨崎步
brbc	八荣八耻
brgh	病入膏肓
brsm	不辱使命
bsbh	半死不活
bscm	本山传媒
btky	不痛快
btlj	标题栏
bttk	抱头痛哭
bubj	补办
bubm	不便
bubm	不变
buco	不错
bucs	补充
buda	不大
budk	不到
budl	不带
budr	不断
buds	不动
buds	不懂
budv	不对
budy	不顶
buff	部分
bugb	不够
bugd	不光
bugj	不干
bugj	不敢
bugo	不过
bugr	不管
bugs	不公
bugv	不贵
bugz	不给
buhj	不含
buhk	不好
buho	捕获
buhv	不会
buhv	不回
bujc	补交
bujc	补缴
buji	不急
bujm	不见
bujm	部件
buju	布局
buke	补课
bukp	不困
bula	不辣
bulc	不了
bulc	不料
buld	不亮
bulu	不露
bulz	不累
bumh	不忙
bumj	不满
bung	不能
bunt	不虐
buoe	部
bupa	不怕
buqi	不起
buqu	不去
burf	不忍
burh	不让
burj	不然
bush	不上
bush	补上
busi	不失
busi	不时
busi	不是
busi	不适
busk	不少
buso	不说
busr	不算
busu	部署
busv	不随
butc	不调
butl	不太
buts	不同
butx	补贴
buvj	不安
buvl	不爱
buwj	不完
buwz	部位
buxd	不像
buxd	不想
buxn	不信
buxu	不许
buxx	不屑
buxy	不行
buyk	不要
buyk	部要
buyr	不冤
buys	不用
buzb	步骤
buzl	不再
buzo	不做
buzu	不住
buzu	不足
bvhk	备案号
bwgr	博物馆
bxde	别的
bxgk	别搞
bxgz	白雪公主
bxji	别急
bxna	别拿
bxnq	别扭
bxrf	别人
bxsi	半小时
bxso	别说
bxsx	不相上下
bxtl	别太
bxty	别停
bxys	白先勇
bxzl	别再
byff	冰粉
bygs	搬运工
byji	备用机
byqi	兵器
byqx	并且
bytu	饼图
byze	扮演者
byzg	毕业证
byzi	不一致
byzo	白羊座
bzds	被动
bzff	备份
bzia	呗
bzia	贝
bzjy	北京
bzjy	背景
bzmm	背面
bzpc	北漂
bzqy	悲情
bzsh	背上
bzss	背诵
bzsz	不知所踪
bzvj	备案
bzxr	备选
bzyr	北苑
bzys	备用
bzyt	北岳
bzyt	北约
bzyu	不至于
bzzi	辈子
bzzu	备注
caba	插拔
cabx	差别
caca	查查
cadc	擦掉
cadk	查到
cadm	差点
caei	插
caei	查
cahj	擦汗
cahk	叉号
cahw	插画
cahw	插话
caia	嚓
cajm	插件
cajn	插紧
cajn	差劲
caka	插卡
cakj	查看
caou	差
caru	插入
casa	查杀
casb	查收
cash	插上
caxp	查询
cayi	差异
cayt	查阅
cazi	岔子
cazk	查找
cazl	插在
cazo	插座
cbbz	筹备
cbcb	瞅瞅
cbdo	差不多
cbfg	抽风
cbhe	凑合
cbhf	仇恨
cbjd	抽奖
cbkr	筹款
cbks	抽空
cblb	丑陋
cble	瞅了
cbli	窗玻璃
cblj	侧边栏
cbqm	抽签
cbrf	丑人
cbrf	出版人
cbrf	仇人
cbrf	创办人
cbse	出版社
cbsh	出版商
cbsi	仇视
cbti	抽屉
cbui	臭
cbxd	抽象
cbzl	趁波逐浪
cccc	超超超超
cccy	草畜产业
cdbj	创办
cdbk	吃得饱
cdbk	充电宝
cdby	长短不一
cddh	闯荡
cdjm	创建
cdjn	闯进
cdkb	窗口
cdli	创立
cdlj	菜单栏
cdqm	窗前
cdye	创业
cdyi	创意
cdzf	长度指示符
cdzo	创作
cedi	彻底
ceho	车祸
cehw	策划
celi	车里
celj	侧栏
celt	策略
ceoo	测
ceoo	澈
cesi	测试
ceso	厕所
ceua	册
ceui	侧
cewl	车外
cexc	撤销
ceyj	测验
ceyj	澈言
cezi	册子
cfai	陈
cffu	臣服
cfia	晨
cfmi	沉迷
cfsv	沉睡
cfxy	长方形
cgae	层
cgbf	成本
cgbg	参观博物馆
cgci	层次
cgcu	惩处
cgde	撑得
cgdu	程度
cgdv	曾对
cggs	成功
cghf	成功恢复
cghu	称呼
cgjc	成交
cgji	层级
cgji	成绩
cgjq	成就
cgjy	曾经
cgkl	撑开
cgli	成立
cgmg	承蒙
cgnm	成年
cgpn	成品
cgrf	承认
cgsb	承受
cgse	橙色
cgsg	乘胜
cgsi	城市
cgsu	成熟
cgua	鯎
cgwz	成为
cgxn	诚信
cgxu	程序
cgxy	成性
cgye	程野
cgzo	乘坐
chcg	长城
chch	尝尝
chch	常常
chcu	长处
chcu	仓储
chdk	倡导
chdm	长电
chdu	长度
chei	苍
chia	唱
chjm	常见
chju	长句
chjw	厂家
chjy	场景
chku	仓库
chld	苍凉
chpm	唱片
chpm	长篇
chpn	藏品
chqi	长期
chsb	长寿
chsi	尝试
chsi	常侍
chsi	常识
chsx	吹花送远香
chuo	仓
chvj	长安
chvj	长按
chvj	长案
chxc	畅销
chyn	长音
chys	常用
chzg	长征
chzh	厂长
chzi	厂子
cibk	吃饱
cici	迟迟
cico	吃错
cicp	尺寸
cicu	此处
cidc	吃掉
cide	吃得
cidl	磁带
cidl	池袋
cidm	词典
cidp	迟钝
cidp	吃顿
cidu	尺度
cifg	赤峰
cifj	吃饭
cige	吃个
cigo	吃过
cihv	词汇
ciji	刺激
cijq	持久
ciku	吃苦
ciku	词库
ciky	词快
cilp	齿轮
cioa	词
cioo	池
cipj	磁盘
cisa	吃啥
cisi	吃屎
cisi	此时
cisu	辞书
ciwj	吃完
cixi	磁吸
cixu	持续
cixy	词性
cizi	池子
cizi	辞职
cizu	词组
cjjw	参加
cjkk	参考
cjku	残酷
cjld	产量
cjlm	蝉联
cjmm	缠绵
cjoo	惨
cjpn	产品
cjsg	产生
cjsi	禅师
cjsu	参数
cjty	餐厅
cjwz	财经网站
cjyu	参与
cjyy	察见渊鱼
cjza	掺杂
cjzd	惨状
cjzk	参照
ckce	超车
ckch	超长
ckdi	草地
ckdj	操蛋
ckdj	炒蛋
ckei	抄
ckfg	嘲讽
ckgk	草稿
ckgk	超高
ckgo	超过
ckji	超级
ckjw	吵架
ckkk	抽空看看
cklc	草料
cklz	草类
ckoo	潮
ckpj	操盘
cksi	超市
ckwu	草屋
ckxc	嘲笑
ckxi	抄袭
ckxn	操心
ckzi	超值
ckzo	操作
clbc	出类拔萃
clce	猜测
clcg	拆成
clci	彩瓷
clcj	财产
cldh	成立大会
cldi	菜地
cldj	菜单
cldk	猜到
cldl	彩带
cldm	彩电
cldv	才对
clea	虿
clei	拆
clei	菜
clff	拆分
clfg	拆封
clfh	采访
clgb	采购
clhb	豺狼虎豹
clhs	彩虹
clia	踩
cljx	拆解
clkl	拆开
cllc	材料
clng	才能
clqi	处理器
clse	彩色
clvj	拆案
clwu	财务
clxy	才行
clyr	裁员
clys	采用
clzi	材质
clzi	菜籽
cmmy	重命名
cnbi	吹牛逼
cnma	操你妈
cnzh	从那之后
cobl	挫败
coco	搓搓
cocu	错处
code	错的
cogo	错过
coti	错题
coue	错
cowu	错误
cowz	错位
cpcg	春城
cpcu	存储
cpcv	纯粹
cpdh	存档
cpdk	忖道
cpei	寸
cpfh	存放
cpkr	存款
cpms	产品描述
cppy	纯平
cpse	春色
cptm	春天
cpxm	产品线
cpzd	春装
cpzi	村子
cpzl	存在
crbk	川宝
crbo	传播
crdi	传递
crdk	传到
crgz	传给
crhk	穿好
crhk	传好
crjm	船舰
crmo	穿模
crmz	传媒
crnm	传念
crpu	川普
crqi	传奇
crqi	川崎
crrj	传染
crsu	传输
crti	船体
crts	传统
crui	传
crui	川
crwj	出入无间
crwj	传完
cryi	穿衣
cryt	穿越
crze	穿着
csbc	出师表
csbc	参数表
csci	从此
csco	丛脞
csda	川师大
csdk	冲到
csdm	充电
csdx	重叠
csdx	从上到下
csfu	重复
csgb	重构
cshe	重合
cshk	充好
cshw	城市化
cshw	初始化
csji	冲击
csjn	冲进
csli	城市里
csll	从来
csln	丛林
csmj	充满
csmm	初始密码
csmy	聪明
csna	从哪
csnn	从您
csqi	重启
csrf	创始人
cssg	冲绳
cssh	崇尚
cstu	冲突
cswu	宠物
csxc	从小
csxm	重现
csxn	重新
csxn	从新
csxx	充血
csxx	重写
csyq	长舒一口气
cszd	重装
cszi	充值
cszi	重置
cszo	重做
ctbf	插图本
ctbf	错题本
cubj	出版
cubu	初步
cuci	除此
cuci	初次
cuco	出错
cuda	粗大
cudc	除掉
cufa	出发
cufa	处罚
cufa	触发
cufz	除非
cugo	出国
cuhl	出海
cuji	初级
cujy	出境
cukl	初开
culc	出料
cule	出了
cule	除了
culi	出力
culi	处理
cull	出来
cuma	出马
cumf	出门
cumo	触摸
cuoa	初
cuou	粗
cupn	出品
cuqi	出奇
cuqi	初期
cuqn	出勤
cuqu	出去
cusg	出声
cusg	出生
cusi	出事
cusi	厨师
cusu	出书
cuti	出题
cuua	处
cuxm	出现
cuxt	出血
cuyu	处于
cuzj	出站
cuzs	初中
cvcv	吹吹
cvcv	脆脆
cvgo	催过
cvia	崔
cvjc	催缴
cvle	催了
cvui	催
cvxw	吹下
cvxw	催下
cvze	吹着
cvzi	锤子
cvzl	催债
cwbf	纯文本
cxsu	畅销书
cxyr	程序员
cydm	差一点
cyhw	产业化
cyhw	差异化
czdy	从左到右
czxt	操作系统
daba	大巴
dabj	打扮
dabk	打包
daby	大兵
daby	大病
daco	打错
daco	大错
dacu	打出
dadk	达到
dadm	大殿
dado	大多
dadp	打盹
dadr	打断
dads	打动
dadu	大度
dadv	大堆
dadv	答对
daei	打
daei	搭
dafu	大幅
dagb	打钩
dage	搭个
dagh	大纲
dagl	大概
dags	打工
dagy	打怪
dagz	打给
dahl	大海
dahr	大环
dahv	大会
daia	哒
dajc	大脚
daji	打击
dajm	搭建
dajw	打架
dajw	大家
daka	大卡
dakk	大考
dakl	打开
dali	打理
dali	搭理
dali	大力
dalk	大佬
dalk	大老
dalr	打乱
dalr	大乱
dalu	大陆
daly	大龄
damj	打满
damo	打磨
dapy	大屏
dapz	搭配
daqi	大气
daqm	打钱
daqp	大群
dark	打扰
dasa	大厦
dasb	大手
dasd	大双
dasf	大神
dasg	打声
dasg	打胜
dasg	大圣
dasg	大生
dasg	大盛
dasg	大省
dasg	达声
dasg	达生
dasg	答声
dasi	大事
dasi	大师
dasl	大赛
dasr	打算
dasv	大水
dats	打通
dats	大同
datu	大图
daty	打听
davj	答案
dawj	打完
daxc	大小
daxt	大学
daxx	大写
daxy	大兴
dayn	打印
dayu	大于
dayu	大鱼
dayy	答应
dazi	打字
dazi	大致
dazj	大战
dazl	搭载
dbbj	豆瓣
dbbk	豆包
dbbz	大宝贝
dbds	抖动
dbdv	对不对
dbei	豆
dbei	抖
dbhk	逗号
dbhk	都好
dbke	大百科
dbkl	打不开
dboe	痘
dbqi	对不起
dbsx	待办事项
dbxi	都系
dbyk	都要
dbyn	抖音
dbyn	都因
dbze	逗着
dbzo	代表作
dcdk	掉到
dcdv	掉队
dcei	掉
dcia	叼
dcia	吊
dcjw	掉价
dcke	雕刻
dcmy	大聪明
dcoa	调
dcqu	调取
dcru	调入
dcsi	对此事
dcxm	掉线
dcys	调用
dczr	掉转
ddbx	喋喋不休
ddhw	打电话
ddma	低代码
ddtb	点点头
ddwo	带带我
ddxx	断断续续
decu	得出
dedk	得到
dego	德国
degp	德棍
dele	得了
dezi	得知
dezv	得罪
dfdg	大富大贵
dfkj	大富科技
dfsd	得分手段
dgdg	等等
dggd	灯光
dggk	等高
dghk	等号
dghk	低功耗
dgho	灯火
dghv	灯会
dgji	登记
dgji	等级
dgku	灯枯
dgli	吨公里
dgls	灯笼
dglu	登录
dgrf	等人
dgts	等同
dgxn	灯芯
dgyu	等于
dgze	等着
dhby	当兵
dhci	档次
dhdh	当当
dhdi	当地
dhdk	当道
dhge	当个
dhkd	对话框
dhkw	登乎昆仑之丘而南望
dhmm	当面
dhnm	当年
dhpm	动画片
dhqm	当前
dhrj	当然
dhsh	当上
dhsi	当时
dhtm	当天
dhxw	当下
dhzi	大胡子
dhzo	当作
dibj	地板
dibu	地步
dibu	底部
dicg	底层
didi	弟弟
didk	地道
didr	低端
difh	地方
dige	的哥
dijc	递交
dimi	低迷
diqt	的确
diqu	地区
diru	滴入
dish	地上
disi	第四
disj	第三
ditu	地图
ditx	地铁
diui	低
divr	第二
dixw	地下
diyi	第一
diyu	地域
dizf	地震
dizi	地址
dizi	弟子
djbk	担保
djci	单词
djcp	单纯
djcu	淡出
djdc	单调
djdh	担当
djdj	淡淡
djdu	单独
djge	单个
djgk	蛋糕
djhk	大家好
djhk	单号
djji	单击
djmj	典尽卖绝
djoo	淡
djou	单
djrf	担任
djri	单日
djru	淡入
djse	单色
djsh	大街上
djsi	但是
djsi	倒计时
djtc	单条
djwu	耽误
djwz	单位
djxn	担心
djxr	单选
djyr	单元
djzi	单字
dkbi	倒闭
dkbj	盗版
dkcg	岛城
dkcu	导出
dkcu	到处
dkdi	到底
dkdk	叨叨
dkfu	到付
dkgo	到过
dkgu	捣鼓
dkgu	稻谷
dkhh	导航
dkhk	端口号
dkju	道具
dkjw	到家
dkli	道理
dklq	导流
dklq	倒流
dkmz	倒霉
dkqi	到期
dkqm	道歉
dkru	导入
dksb	到手
dksh	岛上
dksi	到时
dksl	对抗赛
dktb	到头
dktg	倒腾
dktx	倒贴
dkyj	导演
dkzi	导致
dkzi	刀子
dkzk	戴口罩
dlbc	代表
dlbf	呆笨
dlbj	呆板
dlbj	代办
dlbu	逮捕
dldk	带到
dldl	呆呆
dlei	带
dlge	第六个
dlgr	代管
dlgs	代工
dlji	待机
dljw	代价
dlkr	贷款
dlla	大剌剌
dlli	代理
dlll	带来
dlma	代码
dlrf	带人
dlrf	代理人
dlyb	带有
dlye	登录页
dlze	带着
dlze	呆着
dlzr	栋梁之任
dmbj	电板
dmbj	点半
dmce	电车
dmci	电池
dmdk	颠倒
dmdm	点点
dmdo	掂掇
dmfu	垫付
dmfu	颠覆
dmhk	点好
dmhw	电话
dmji	点击
dmjw	店家
dmkl	点开
dmkl	斗美夸丽
dmld	电量
dmli	典礼
dmma	电码
dmmm	店面
dmnk	电脑
dmpu	店铺
dmpy	点评
dmqm	点钱
dmsh	电商
dmsh	点上
dmsi	电视
dmst	达梦数据库管理系统
dmvj	点按
dmwj	点完
dmyr	电源
dmyy	电影
dmzh	店长
dmzi	电子
dmzi	点子
dmzs	点中
dmzv	点缀
dobf	多本
dobo	多拨
dobu	多部
docg	多层
doci	多次
docl	多彩
docs	多重
docu	多出
doda	多大
dodm	多点
dodo	多多
dodo	朵朵
doff	多分
doge	多个
dogr	夺冠
dohh	多行
dojq	多久
dojw	多家
dokr	多款
dokv	多亏
dole	躲了
dolx	多列
dome	多么
donm	多年
dosi	多是
dosk	多少
dosu	多数
dotm	多天
dovr	多尔
dowf	多问
doys	多用
doyt	多月
doyu	多余
dozi	多姿
dozs	多种
dphk	顿号
dpzl	蹲在
dqjr	定期卷
dqle	丢了
drcu	短促
drcu	短处
drdc	淡入淡出
drdm	断点
drdm	断电
drdr	短短
drdr	段段
drju	短剧
drju	短句
drkb	端口
drku	短裤
drlo	段落
drlp	短论
drni	端倪
droe	端
drue	短
drvj	短按
drwf	短文
drxn	短信
dsbu	第三部
dsci	动词
dsci	第三次
dsde	懂得
dsei	董
dsfh	第三方
dsfj	第三方软件
dsfl	第三方物流
dsge	第三个
dsgo	东郭
dsgo	动过
dshw	动画
dsji	动机
dsji	电视机
dsji	冬季
dsjk	多数据库
dsjm	大事件
dsjm	电视节目
dsju	电视剧
dsjy	东京
dsjy	动静
dsmj	动漫
dsoo	懂
dsqi	定时器
dsqm	多少钱
dsrl	丢死人了
dssb	动手
dstc	多少条
dstl	动态
dstl	电视台
dstm	冬天
dswo	懂我
dswo	但是我
dswu	动物
dsxc	动效
dsxc	洞箫
dsxi	东西
dszo	动作
dtzj	地铁站
dubo	赌博
dubo	独播
ducg	都城
ducg	读成
duch	赌场
dugo	渡过
dugs	督工
duli	独立
duoa	读
duqu	读取
dusu	读书
dusu	度数
duwj	读完
duwu	读物
duxm	独显
duyn	读音
duze	读者
duzi	独自
duzi	肚子
dvbi	对比
dvbj	对半
dvbu	对不
dvbu	第二步
dvci	第二次
dvco	对错
dvdc	对调
dvdr	第二段
dvdv	对对
dvfh	对方
dvfu	对付
dvgb	对钩
dvge	第二个
dvgy	第二工业
dvhw	对话
dvjx	对接
dvmm	对面
dvnm	第二年
dvqi	对其
dvqi	对齐
dvsb	对手
dvsh	对上
dvsh	第二十回
dvtj	对谈
dvtm	第二天
dvye	第二页
dvys	当爱已成往事
dvyu	对于
dvyy	对应
dvze	对着
dvzh	对帐
dvzk	对照
dwbu	第五部
dxdl	迭代
dxsi	地下室
dxzj	谍战
dybf	电影播放
dybf	第一本
dybu	顶部
dybu	第一步
dybu	第一部
dyci	大鱼吃
dyci	第一次
dycj	订餐
dydm	定点
dydr	顶端
dydr	第一段
dydy	顶顶
dydy	钉钉
dyei	丁
dyfh	订房
dyfy	第一反应
dyge	第一个
dygl	电源管理
dyhh	第一行
dyhk	顶好
dyji	打印机
dyji	第一集
dyjm	顶尖
dyjw	定价
dykq	动员戡乱时期
dylj	东洋兰
dylx	的优劣
dyma	大姨妈
dynm	第一年
dyoa	订
dypy	第一屏
dyqi	定期
dyrc	第一人称
dyse	德云社
dysh	盯上
dysi	定时
dysj	第一时间
dytm	第一天
dywz	定位
dyyi	定义
dyyi	第一义
dyyj	多语言
dyyt	订阅
dyyy	电影演员
dyze	盯着
dyzh	第一张
dyzh	第一章
dyzi	定制
dyzj	第一站
dyzt	打印字体
dzpm	动作片
dzsu	电子书
dzyj	电子邮件
fabu	发布
facu	发出
fadm	发点
fady	法定
fafg	发疯
fagz	发给
faho	发货
fahv	发挥
fajt	发觉
fall	发来
falv	法律
fapc	发票
faqi	发起
faqm	发钱
farf	法人
fasg	发声
fasg	发生
fass	发送
fata	发她
faxm	发现
faxx	发泄
faxy	发型
faxy	发行
fayj	发言
fayn	发音
fayr	法院
fazb	伐纣
fazi	法子
fazj	发展
fbcb	肺包虫病
fbdy	否定
fbhv	发布会
fblv	分辨率
fbqy	分不清
fbze	否则
fddu	粉嘟嘟
fdgg	飞得更高
fdji	复读机
fdjy	放大镜
ffbu	分布
ffbx	分别
ffcg	分成
ffci	分词
ffcl	反腐倡廉
ffcw	非法出版物
ffdr	分段
fffa	分发
ffff	纷纷
ffge	分割
ffhk	分号
ffhk	分毫
ffjx	分解
ffkl	分开
ffld	分量
ffli	分离
fflx	分裂
fflz	分类
ffnu	愤怒
ffou	粉
ffsi	粉丝
ffsu	分数
ffwz	氛围
ffwz	分为
ffxd	分享
ffxd	反方向
ffxi	分析
ffzh	分帐
ffzi	分支
ffzs	分分钟
ffzs	分钟
fgbi	封闭
fgci	讽刺
fgdy	封顶
fgee	丰
fgei	封
fgfu	丰富
fggb	疯狗
fgge	峰哥
fgge	风格
fggw	法国国王
fggy	风格各异
fghd	凤凰
fghk	封号
fgia	峰
fgjy	风景
fgkd	疯狂
fgle	疯了
fgmm	封面
fgsa	封杀
fgsi	分公司
fgwo	蜂窝
fgxm	风险
fgzd	封装
fgzg	风筝
fgzk	凤爪
fgzs	风中
fhbm	方便
fhcd	复合传动
fhda	放大
fhdk	放到
fhdl	房贷
fhdm	放电
fhds	房东
fhei	坊
fhfa	方法
fhfd	枫华府第
fhfh	方方
fhge	方格
fhji	纺机
fhjm	房间
fhjn	放进
fhjw	房价
fhjw	放假
fhkl	放开
fhks	防控
fhks	防空
fhky	方块
fhlm	防滑链
fhmm	方面
fhoa	房
fhoe	放
fhqd	防火墙
fhqi	放弃
fhqi	孵化器
fhru	放入
fhsi	房市
fhsi	方式
fhvj	方案
fhwf	访问
fhwu	房屋
fhxd	方向
fhxi	房西
fhxn	放心
fhxt	放学
fhxw	放下
fhxy	房型
fhxy	放行
fhxy	方形
fhyr	房源
fhyy	放映
fhze	放着
fhzi	防止
fhzi	房子
fhzi	放置
fhzj	房展
fhzl	放在
fhzu	房租
fjdi	反帝
fjdl	反代
fjds	反动
fjfb	饭否
fjfj	翻番
fjgd	反光
fjgr	饭馆
fjhk	番号
fjhv	返回
fjhw	反华
fjji	反击
fjjn	返金
fjkv	反馈
fjle	反了
fjmx	封建迷信
fjpa	反爬
fjpm	翻篇
fjqd	翻墙
fjqx	番茄
fjsi	凡是
fjsi	反思
fjti	繁体
fjua	饭
fjua	凡
fjue	繁
fjvr	反而
fjwf	范文
fjwf	反问
fjxd	反向
fjxd	反响
fjye	翻页
fjyi	翻译
fjyy	反应
fjzb	泛舟
fjzg	反正
fjzi	反之
fjzv	犯罪
fjzz	反贼
fklj	风口浪尖
fkls	放开了手
fkzg	访客证
frlz	反人类
fsts	富士通
fucb	复仇
fucu	付出
fudj	负担
fuds	浮动
fudu	幅度
fufz	付费
fugl	覆盖
fugo	付过
fugu	复古
fugz	付给
fuhe	符合
fuhk	符号
fuhw	孵化
fujm	附件
fujn	附近
fujw	附加
fuke	复刻
fukr	付款
fule	服了
fule	付了
fuli	福利
fumu	父母
fuoo	浮
fuqi	夫妻
fuqn	父亲
furi	赴日
fusi	富士
fusj	富山
fuss	附送
fuua	负
fuue	复
fuui	付
fuwf	符文
fuwu	服务
fuwz	复位
fuyh	抚养
fuyr	复原
fuys	复用
fuza	复杂
fuzb	福州
fuze	负责
fuzi	复制
fuzi	父子
fuzs	浮肿
fuzu	辅助
fwqi	服务器
fxbj	发行版
fxkd	复选框
fzcg	费城
fzch	非常
fzdz	非得
fzgo	飞过
fzji	飞机
fzjn	费劲
fzjn	费尽
fzma	辅助码
fzqi	废弃
fzrf	负责人
fzwu	废物
fzyk	非要
fzys	费用
fzys	反作用
fzzi	废纸
gbda	勾搭
gbda	够大
gbde	怪不得
gbdy	搞不定
gbfj	管鲍分金
gbgj	敢不敢
gbkr	够宽
gbmb	搞不明白
gbml	购买
gbmy	改变命运
gbsh	顾不上
gbsh	勾上
gbts	沟通
gbwu	购物
gbxr	勾选
gbxs	狗熊
gbys	更不用说
gbys	够用
gbyu	购于
gcsi	工程师
gdbc	光标
gdfj	广泛
gdgg	孤独鳏寡
gdgh	郭德纲
gdgj	光杆
gdgk	广告
gdgo	逛过
gdpj	光盘
gdsb	广受
gdtc	滚动条
gdxi	广西
gdyy	光影
gebo	胳膊
gedi	各地
geei	格
gege	各个
geju	格局
geli	格力
gelw	哥俩
gelx	割裂
geme	个么
gemf	哥们
gemy	革命
gequ	歌曲
gerf	个人
gesi	格式
gewz	各位
gexd	各项
geze	隔着
gezi	格子
gezi	各自
gezi	个字
gezs	各种
gfbf	根本
gfdu	跟读
gfji	根基
gfju	根据
gfna	跟那
gfsv	跟随
gfta	跟它
gfze	跟着
ggbt	格格不吐
ggcj	更惨
ggda	更大
ggdd	高高低低
ggde	乖乖地
ggdo	更多
ggei	更
ggei	梗
gggf	巩固国防
gggg	耿耿
gggl	更改
gggs	广告公司
gghk	更好
gghr	更换
ggjj	干干净净
ggjj	规规矩矩
ggjw	更加
ggky	更快
ggll	改过来
ggls	滚瓜烂熟
ggqd	更强
ggxd	更像
ggxm	更显
